character,dialogue,episode,line
Threepio,"Master Luke here is your rightful owner.  We'll have no more of this Obi-Wan Kenobi jibberish... and don't talk to me of your mission, either.  You're fortunate he doesn't blast you into a million pieces right here.",4,222
Luke,"Well, come on. It's getting late.  I only hope we can get back before Uncle Owen really blows up.",4,223
Threepio,"If you don't mind my saying so, sir, I think you should deactivate the little fugitive until you've gotten him back to your workshop.",4,224
Luke,"No, he's not going to try anything.",4,225
Luke,What's wrong with him now?,4,226
Threepio,"Oh my... sir, he says there are several creatures approaching from the southeast.",4,227
Luke,"Sand People!  Or worse!  Come on, let's have a look.  Come on.",4,228
Luke,"There are two Banthas down there but I don't see any... wait a second, they're Sand People all right.  I can see one of them now.",4,229
Ben,Hello there!  Come here my little friend.  Don't be afraid.,4,230
Ben,"Don't worry, he'll be all right.",4,231
Luke,What happened?,4,232
Ben,"Rest easy, son, you've had a busy day.  You're fortunate you're still in one piece.",4,233
Luke,"Ben?  Ben Kenobi!  Boy, am I glad to see you! ",4,234
Ben,"The Jundland Wastes are not to be traveled lightly.  Tell me, young Luke, what brings you out this far?",4,235
Luke,"Oh, this little droid!  I think he's searching for his former master...  I've never seen such devotion in a droid before... there seems tobe no stopping him.  He claims to be the property of an Obi-Wan Kenobi.  Is he a relative of yours?  Do you know who he's talking about?",4,236
Ben,Obi-Wan Kenobi... Obi-Wan?  Now thats a name I haven't heard in a long time... a long time.,4,237
Luke,I think my uncle knew him.  He said he was dead.,4,238
Ben,"Oh, he's not dead, no... not yet.",4,239
Luke,You know him!,4,240
Ben,"Well of course, of course I know him.  He's me!  I haven't gone by the name Obi-Wan since oh, before you were born.",4,241
Luke,Then the droid does belong to you.,4,242
Ben,Don't seem to remember ever owning a droid.  Very interesting... ,4,243
Ben,I think we better get indoors.  The Sand People are easily startled but they will soon be back and in greater numbers.,4,244
Luke,... Threepio!,4,245
Threepio,Where am I?  I must have taken a bad step...,4,246
Luke,Can you stand?  We've got to get out of here before the Sand People return.,4,247
Threepio,"I don't think I can make it.  You go on, Master Luke.  There's no sense in you risking yourself on my account.  I'm done for.",4,248
Luke,"No, you're not.  What kind of talk is that?",4,249
Ben,"Quickly, son... they're on the move.",4,250
Luke,"No, my father didn't fight in the wars.  He was a navigator on a spice freighter.",4,251
Ben,That's what your uncle told you.  He didn't hold with your father's ideals.  Thought he should have stayed here and not gotten involved.,4,252
Luke,You fought in the Clone Wars?,4,253
Ben,"Yes, I was once a Jedi Knight the same as your father.",4,254
Luke,I wish I'd known him.,4,255
